forecast_name,target_location,forecast_start_date,forecast_end_date,metric_name,vertical,log_cat,excluded_locations,control_locations,platform,custom_sql,covariates_sql,fbprophet_params,ci_control_locations,ci_covariates
electronics_imv_2_0_marketing_listers,"Москва,Московская область,Санкт-Петербург,Ленинградская область",2023-03-20,2023-04-16,new_listers,General,General.Electronics,"Татарстан,Красноярский край,Кемеровская область,Иркутская область,Хабаровский край,Пензенская область,Ярославская область,Ульяновская область,Томская область,Калининградская область,Ивановская область,Бурятия,Карелия,Ямало-Ненецкий АО,Ханты-Мансийский АО,Оренбургская область,Волгоградская область,Удмуртия,Чувашия,Новосибирская область,Тюменская область,Кировская область,Свердловская область,Нижегородская область",,,"with users_logcats as (
    select ci.user_id, 
        ci.item_id,
        cm.logical_category_id, 
        ci.StartTime::date as event_date,
        ci.location_id,
        row_number() over (partition by ci.user_id, cm.logical_category_id order by ci.StartTime asc) as rnk
    from DMA.current_item ci 
    join DMA.current_microcategories cm using(Microcat_id)
    where vertical = 'General'
        and logical_category = 'General.Electronics'
        and subcategory_name = 'Телефоны'
        and cm.param1 not in ('Аксессуары','Рации','Стационарные телефоны')
        and (not ci.isdead or datediff('day', ci.StartTime, ci.death_date) >= 30)
        and ci.StartTime >= '20190101'
)
select event_date::date as ds,
    (case when 'Москва,Московская область,Санкт-Петербург,Ленинградская область' like '%'||cl.region||'%' then 'target'
           else region end) as region, 
    count(distinct user_id) as y
from users_logcats ld
join DMA.current_locations cl on cl.location_id = ld.location_id
where rnk = 1 
    and event_date >= '20190101'
    and country = 'все регионы'
    and region not in ('Татарстан','Красноярский край','Кемеровская область','Иркутская область','Хабаровский край','Пензенская область',
                        'Ярославская область','Ульяновская область','Томская область','Калининградская область','Ивановская область','Бурятия','Карелия','Ямало-Ненецкий АО',
                        'Ханты-Мансийский АО','Оренбургская область', 'Волгоградская область','Удмуртия','Чувашия','Новосибирская область','Тюменская область','Кировская область',
                        'Свердловская область', 'Нижегородская область')
group by 1,2
order by 1,2
",,,,
electronics_imv_2_0_marketing_listers,"Москва,Московская область,Санкт-Петербург,Ленинградская область",2023-03-20,2023-04-16,items_started,General,General.Electronics,"Татарстан,Красноярский край,Кемеровская область,Иркутская область,Хабаровский край,Пензенская область,Ярославская область,Ульяновская область,Томская область,Калининградская область,Ивановская область,Бурятия,Карелия,Ямало-Ненецкий АО,Ханты-Мансийский АО,Оренбургская область,Волгоградская область,Удмуртия,Чувашия,Новосибирская область,Тюменская область,Кировская область,Свердловская область,Нижегородская область",,,"select   StartTime::date as ds,
        (case when 'Москва,Московская область,Санкт-Петербург,Ленинградская область' like '%'||cl.region||'%' then 'target'
           else region end) as region,
        count(distinct Item_id) as y        
from DMA.current_item sie 
join DMA.current_microcategories cm on cm.microcat_id = sie.microcat_id
join DMA.current_locations cl on cl.location_id = sie.location_id
where  StartTime::date >= '20190101'
        and vertical = 'General' 
        and logical_category = 'General.Electronics'
        and subcategory_name = 'Телефоны'
        and cm.param1 not in ('Аксессуары','Рации','Стационарные телефоны')
        and country = 'все регионы'
        and region not in ('Татарстан','Красноярский край','Кемеровская область','Иркутская область','Хабаровский край','Пензенская область',
                        'Ярославская область','Ульяновская область','Томская область','Калининградская область','Ивановская область','Бурятия','Карелия','Ямало-Ненецкий АО',
                        'Ханты-Мансийский АО','Оренбургская область', 'Волгоградская область','Удмуртия','Чувашия','Новосибирская область','Тюменская область','Кировская область',
                        'Свердловская область', 'Нижегородская область')
    group by 1,2
order by 1,2",,,,
electronics_imv_2_0_marketing_listers,"Москва,Московская область,Санкт-Петербург,Ленинградская область",2023-03-20,2023-04-16,revenue,General,General.Electronics,"Татарстан,Красноярский край,Кемеровская область,Иркутская область,Хабаровский край,Пензенская область,Ярославская область,Ульяновская область,Томская область,Калининградская область,Ивановская область,Бурятия,Карелия,Ямало-Ненецкий АО,Ханты-Мансийский АО,Оренбургская область,Волгоградская область,Удмуртия,Чувашия,Новосибирская область,Тюменская область,Кировская область,Свердловская область,Нижегородская область",,,"select urm.event_date::date as dt,
        (case when 'Москва,Московская область,Санкт-Петербург,Ленинградская область' like '%'||cl.region||'%' then 'target'
           else region end) as region,
        sum(case when product_type in ('lf','vas','subscription','cpa') then urm.transaction_amount_net_adj end) as y
    from DMA.user_report_metrics urm  
    left join DMA.current_transaction_type ctt 
        using(TransactionType_id)    
    join DMA.current_microcategories cm 
        using(microcat_id)
    join DMA.current_locations cl 
        using(location_id)
    where event_date >= '20190101'
        and vertical = 'General' 
        and logical_category = 'General.Electronics'
        and subcategory_name = 'Телефоны'
        and cm.param1 not in ('Аксессуары','Рации','Стационарные телефоны')
        and country = 'все регионы'
        and region not in ('Татарстан','Красноярский край','Кемеровская область','Иркутская область','Хабаровский край','Пензенская область',
                        'Ярославская область','Ульяновская область','Томская область','Калининградская область','Ивановская область','Бурятия','Карелия','Ямало-Ненецкий АО',
                        'Ханты-Мансийский АО','Оренбургская область', 'Волгоградская область','Удмуртия','Чувашия','Новосибирская область','Тюменская область','Кировская область',
                        'Свердловская область', 'Нижегородская область')
    group by 1,2
    order by 1,2",,,,
AUTO_2582_brandFormance_incremental_test,"Ростовская область,Волгоградская область,Нижегородская область,Челябинская область,Новосибирская область,Пермский край",2022-02-21,2022-03-20,user_item_view,Transport,"Transport.UsedCars,Transport.NewCars","Москва,Московская область,Санкт-Петербург,Ленинградская область,Татарстан,Красноярский край",,,,,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.05, 'changepoint_range': 0.8, 'seasonality_prior_scale': 0.01, 'growth': 'linear', 'holidays_prior_scale': 0.01}","cl_Краснодар,cl_Чеченская Республика,cl_Омск,cl_Чувашия,cl_Вологодская область,cl_Самарская область,cl_Владивосток,cl_Кировская область,cl_Оренбург,cl_Саратов,cl_Астраханская область,cl_Дагестан,cl_Улан-Удэ,cl_Москва,cl_Ярославская область",
AUTO_2582_brandFormance_incremental_test,"Ростовская область,Волгоградская область,Нижегородская область,Челябинская область,Новосибирская область,Пермский край",2022-02-21,2022-03-20,reactivated_listers,Transport,"Transport.UsedCars,Transport.NewCars","Москва,Московская область,Санкт-Петербург,Ленинградская область,Татарстан,Красноярский край",,,,,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.05, 'changepoint_range': 0.8, 'seasonality_prior_scale': 0.01, 'growth': 'linear', 'holidays_prior_scale': 0.01}","cl_Тольятти,cl_Краснодарский край,cl_Каменск-Уральский,cl_Москва,cl_Махачкала,cl_Новокузнецк,cl_Хакасия,cl_Кировская область",
Uac_incrementality_2022,"Астраханская область,Иркутская область,Калининградская область,Рязанская область,Ставропольский край",2022-01-28,2022-02-25,buyers,Realty,Any,-none-,,,"SELECT event_date as ds ,
       case when clp.locationname in ('Астраханская область','Иркутская область','Калининградская область','Рязанская область','Ставропольский край') then 'target'
            else clp.locationname end as region ,
       sum(metric_value) as y
FROM   dma.regional_ab_metrics ab join dma.current_locations cl using (location_id) join dma.current_locations clp
        ON cl.parentlocation_id = clp.location_id
WHERE  user_segment_market = 'any'
   and is_user_asd = 'any'
   and cl.isactive
   and platform_id = 3
   and event_date >= date_trunc('year', timestampadd(year,-3, current_timestamp))::date
   and vertical_id in (SELECT DISTINCT vertical_id
                    FROM   dma.current_microcategories
                    WHERE  vertical = 'Realty')
   and logical_category_id = -1
   and metric_name = 'buyers'
   and ab.location_id not in (SELECT location_id
                           FROM   dma.current_locations
                           WHERE  isactive
                              and (parentlocation_id in (SELECT parentlocation_id
                                                      FROM   dma.current_locations
                                                      WHERE  locationname in ('Астраханская область','Иркутская область','Калининградская область','Рязанская область','Ставропольский край'))
                              and parentlocation_id != 2885))
   and clp.locationname not in ('все регионы', 'Москва','Санкт-Петербург','Москва')
GROUP BY 1, 2",,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.05, 'changepoint_range': 0.8, 'seasonality_prior_scale': 0.01, 'growth': 'linear', 'holidays_prior_scale': 0.01}","cl_Краснодарский край,cl_Кабардино-Балкария,cl_Красноярский край,cl_Северная Осетия,cl_Дагестан,cl_Ульяновская область,cl_Республика Алтай,cl_Алтайский край,cl_Смоленская область,cl_Бурятия,cl_Московская область,cl_Ростовская область,cl_Ленинградская область,cl_Самарская область,cl_Томская область",
Uac_incrementality_2022,"Астраханская область,Иркутская область,Калининградская область,Рязанская область,Ставропольский край",2022-01-28,2022-02-25,buyers,SpareParts,Any,-none-,,,"SELECT event_date as ds ,
       case when clp.locationname in ('Астраханская область','Иркутская область','Калининградская область','Рязанская область','Ставропольский край') then 'target'
            else clp.locationname end as region ,
       sum(metric_value) as y
FROM   dma.regional_ab_metrics ab join dma.current_locations cl using (location_id) join dma.current_locations clp
        ON cl.parentlocation_id = clp.location_id
WHERE  user_segment_market = 'any'
   and is_user_asd = 'any'
   and cl.isactive
   and platform_id = 3
   and event_date >= date_trunc('year', timestampadd(year,-3, current_timestamp))::date
   and vertical_id in (SELECT DISTINCT vertical_id
                    FROM   dma.current_microcategories
                    WHERE  vertical = 'SpareParts')
   and logical_category_id = -1
   and metric_name = 'buyers'
   and ab.location_id not in (SELECT location_id
                           FROM   dma.current_locations
                           WHERE  isactive
                              and (parentlocation_id in (SELECT parentlocation_id
                                                      FROM   dma.current_locations
                                                      WHERE  locationname in ('Астраханская область','Иркутская область','Калининградская область','Рязанская область','Ставропольский край'))
                              and parentlocation_id != 2885))
   and clp.locationname not in ('все регионы', 'Москва','Санкт-Петербург','Москва')
GROUP BY 1, 2",,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.05, 'changepoint_range': 0.8, 'seasonality_prior_scale': 0.01, 'growth': 'linear', 'holidays_prior_scale': 0.01}","cl_Краснодарский край,cl_Карачаево-Черкесия,cl_Бурятия,cl_Ростовская область,cl_Кабардино-Балкария,cl_Волгоградская область,cl_Нижегородская область,cl_Ненецкий АО,cl_Курская область,cl_Татарстан,cl_Калужская область,cl_Липецкая область,cl_Воронежская область,cl_Хакасия,cl_Дагестан",
goods_2022_04_gotovye_stroeniya,"Татарстан,Ивановская область,Калужская область,Нижегородская область,Хабаровский край,Кемеровская область,Ханты-Мансийский АО,Волгоградская область,Воронежская область,Орловская область,Курганская область,Рязанская область,Тверская область,Алтайский край,Костромская область",2022-04-12,2022-05-08,buyers,General,General.ConstructionRenovation,-none-,"Новосибирская область,Ставропольский край,Тульская область,Владимирская область,Ярославская область,Архангельская область,Ульяновская область,Северная Осетия,Марий Эл,Хакасия",,"select  EventDate::date as ds
        , case when 'Татарстан,Ивановская область,Калужская область,Нижегородская область,Хабаровский край,Кемеровская область,Ханты-Мансийский АО,Волгоградская область,Воронежская область,Орловская область,Курганская область,Рязанская область,Тверская область,Алтайский край,Костромская область' like '%'||cl.region||'%' then 'target' 
            else cl.region        end as region
        , count(distinct Cookie_id) as y        
from DMA.click_stream_contacts csc 
join DMA.current_item ci on csc.Item_id = ci.Item_id 
join DMA.current_microcategories cm on cm.microcat_id = ci.microcat_id
join DMA.current_locations cl on cl.location_id = ci.location_id
where EventDate::date >= '20200101' and cm.Param1 = 'Готовые строения и срубы'
        and ('Татарстан,Ивановская область,Калужская область,Нижегородская область,Хабаровский край,Кемеровская область,Ханты-Мансийский АО,Волгоградская область,Воронежская область,Орловская область,Курганская область,Рязанская область,Тверская область,Алтайский край,Костромская область' like '%'||cl.region||'%'
            or 'Новосибирская область,Ставропольский край,Тульская область,Владимирская область,Ярославская область,Архангельская область,Ульяновская область,Северная Осетия,Марий Эл,Хакасия' like '%'||cl.region||'%')
        and country = 'все регионы'
    group by 1,2",,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.05, 'changepoint_range': 0.8, 'seasonality_prior_scale': 0.01, 'growth': 'linear', 'holidays_prior_scale': 0.01}",,
SpareParts_Jun_21_30Days,Any,2021-06-01,2021-06-30,buyers,SpareParts,Any,-none-,,,,,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.05, 'changepoint_range': 0.8, 'seasonality_prior_scale': 0.01, 'growth': 'linear', 'holidays_prior_scale': 1.0}",,
General_Jun_21_30days,Any,2021-06-01,2021-06-30,buyers,General,Any,-none-,,,,,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.05, 'changepoint_range': 0.8, 'seasonality_prior_scale': 0.01, 'growth': 'linear', 'holidays_prior_scale': 5.0}",,
AUTO_2582_brandFormance_incremental_test,"Ростовская область,Волгоградская область,Нижегородская область,Челябинская область,Новосибирская область,Пермский край",2022-02-21,2022-03-20,buyers,Transport,"Transport.UsedCars,Transport.NewCars","Москва,Московская область,Санкт-Петербург,Ленинградская область,Татарстан,Красноярский край",,,,,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.05, 'changepoint_range': 0.8, 'seasonality_prior_scale': 0.01, 'growth': 'linear'}","cl_Краснодарский край,cl_Дербент,cl_Свердловская область,cl_Тамбов,cl_Находка,cl_Майкоп,cl_Воронежская область,cl_Астраханская область,cl_Ставропольский край,cl_Пензенская область,cl_Тюменская область,cl_Петрозаводск,cl_Саратовская область",
Uac_incrementality_2022,"Астраханская область,Иркутская область,Калининградская область,Рязанская область,Ставропольский край",2022-01-28,2022-02-25,buyers,General,Any,-none-,,,"SELECT event_date as ds ,
       case when clp.locationname in ('Астраханская область','Иркутская область','Калининградская область','Рязанская область','Ставропольский край') then 'target'
            else clp.locationname end as region ,
       sum(metric_value) as y
FROM   dma.regional_ab_metrics ab join dma.current_locations cl using (location_id) join dma.current_locations clp
        ON cl.parentlocation_id = clp.location_id
WHERE  user_segment_market = 'any'
   and is_user_asd = 'any'
   and cl.isactive
   and platform_id = 3
   and event_date >= date_trunc('year', timestampadd(year,-3, current_timestamp))::date
   and vertical_id in (SELECT DISTINCT vertical_id
                    FROM   dma.current_microcategories
                    WHERE  vertical = 'General')
   and logical_category_id = -1
   and metric_name = 'buyers'
   and ab.location_id not in (SELECT location_id
                           FROM   dma.current_locations
                           WHERE  isactive
                              and (parentlocation_id in (SELECT parentlocation_id
                                                      FROM   dma.current_locations
                                                      WHERE  locationname in ('Астраханская область','Иркутская область','Калининградская область','Рязанская область','Ставропольский край'))
                              and parentlocation_id != 2885))
   and clp.locationname not in ('все регионы', 'Москва','Санкт-Петербург','Москва')
GROUP BY 1, 2",,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.05, 'changepoint_range': 0.8, 'seasonality_prior_scale': 0.1, 'growth': 'linear', 'holidays_prior_scale': 0.1}","cl_Краснодарский край,cl_Бурятия,cl_Кабардино-Балкария,cl_Волгоградская область,cl_Красноярский край,cl_Карачаево-Черкесия,cl_Северная Осетия,cl_Забайкальский край,cl_Новгородская область,cl_Дагестан,cl_Ленинградская область,cl_Псковская область,cl_Нижегородская область,cl_Орловская область,cl_Ульяновская область",
SE_Oct_All_21,"Москва,Санкт-Петербург",2021-10-01,2021-12-30,buyers,Services,Any,"Московская область,Ленинградская область",,,,,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.05, 'changepoint_range': 0.8, 'seasonality_prior_scale': 0.1, 'growth': 'linear'}","cl_Улан-Удэ,cl_Краснодар,cl_Нальчик,cl_Абакан,cl_Киров,cl_Чувашия,cl_Ивановская область,cl_Череповец,cl_Новокузнецк,cl_Комсомольск-на-Амуре,cl_Саратовская область,cl_Пензенская область,cl_Новосибирская область,cl_Рязанская область,cl_Арзамас",
AUTO_2582_brandFormance_incremental_test,"Ростовская область,Волгоградская область,Нижегородская область,Челябинская область,Новосибирская область,Пермский край",2022-02-21,2022-03-20,active_items,Transport,"Transport.UsedCars,Transport.NewCars","Москва,Московская область,Санкт-Петербург,Ленинградская область,Татарстан,Красноярский край",,,,,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.05, 'changepoint_range': 0.8, 'seasonality_prior_scale': 1.0, 'growth': 'linear', 'holidays_prior_scale': 0.01}","cl_Астраханская область,cl_Киров,cl_Ижевск,cl_Тверская область,cl_Владимир,cl_Калининградская область,cl_Башкортостан,cl_Брянская область,cl_Тольятти",
SE_Oct_21_Msc_Cat,Москва,2021-10-01,2021-12-30,buyers,Services,"Services.Appliances,Services.Training,Services.HealthAndBeauty",-none-,,,,,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.05, 'changepoint_range': 0.8, 'seasonality_prior_scale': 5.0, 'growth': 'linear', 'holidays_prior_scale': 5.0}","cl_Санкт-Петербург,cl_Липецкая область,cl_Пермь,cl_Домодедово,cl_Калининград,cl_Кемеровская область,cl_Ленинградская область,cl_Хабаровский край,cl_Красноярский край,cl_Каспийск,cl_Элиста,cl_Саратов,cl_Удмуртия,cl_Киров,cl_Курск",
Jobs_Aug_Sept_21,"Санкт-Петербург,Ленинградская область",2021-08-23,2021-09-30,buyers,Jobs,Jobs.Vacancies,"Москва,Московская область",,,,,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.05, 'changepoint_range': 0.95, 'seasonality_prior_scale': 5.0, 'growth': 'linear', 'holidays_prior_scale': 1.0}","cl_Симферополь,cl_Ярославль,cl_Липецкая область,cl_Брянская область,cl_Хабаровский край,cl_Ульяновск,cl_Псковская область,cl_Саранск,cl_Новочебоксарск,cl_Череповец,cl_Забайкальский край,cl_Тюмень,cl_Владимирская область,cl_Армавир,cl_Арзамас",
RE_STR_Feb_March_2022,"Москва,Московская область",2022-02-20,2022-03-31,item_view,Realty,Realty.ShortRent,-none-,,,,,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.1, 'changepoint_range': 0.8, 'seasonality_prior_scale': 1.0, 'growth': 'linear', 'holidays_prior_scale': 5.0}","cl_Калужская область,cl_Санкт-Петербург,cl_Нижегородская область,cl_Волгоград",
AUTO_2582_brandFormance_incremental_test,"Ростовская область,Волгоградская область,Нижегородская область,Челябинская область,Новосибирская область,Пермский край",2022-02-21,2022-03-20,new listers,Transport,"Transport.UsedCars,Transport.NewCars","Москва,Московская область,Санкт-Петербург,Ленинградская область,Татарстан,Красноярский край",,,,,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.1, 'changepoint_range': 0.8, 'seasonality_prior_scale': 5.0, 'growth': 'linear', 'holidays_prior_scale': 1.0}","cl_Москва,cl_Свердловская область,cl_Смоленск,cl_Саратовская область,cl_Ярославская область",
AUTO_2581_radio_incremental_test,"Татарстан,Красноярский край",2022-03-01,2022-03-31,reactivated_listers,Transport,"Transport.UsedCars,Transport.NewCars","Москва,Московская область,Санкт-Петербург,Ленинградская область,Ростовская область,Красноярский край,Волгоградская область,Нижегородская область,Челябинская область,Новосибирская область,Пермский край",,,,,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.1, 'changepoint_range': 0.95, 'seasonality_prior_scale': 0.01, 'growth': 'linear', 'holidays_prior_scale': 0.01}","cl_Башкортостан,cl_Самарская область,cl_Абакан",
AUTO_2581_radio_incremental_test,"Татарстан,Красноярский край",2022-03-01,2022-03-31,new listers,Transport,"Transport.UsedCars,Transport.NewCars","Москва,Московская область,Санкт-Петербург,Ленинградская область,Ростовская область,Красноярский край,Волгоградская область,Нижегородская область,Челябинская область,Новосибирская область,Пермский край",,,,,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.25, 'changepoint_range': 0.8, 'seasonality_prior_scale': 0.1, 'growth': 'linear', 'holidays_prior_scale': 5.0}","cl_Кабардино-Балкария,cl_Чита",
AUTO_2581_radio_incremental_test,"Татарстан,Красноярский край",2022-03-01,2022-03-31,active_items,Transport,"Transport.UsedCars,Transport.NewCars","Москва,Московская область,Санкт-Петербург,Ленинградская область,Ростовская область,Красноярский край,Волгоградская область,Нижегородская область,Челябинская область,Новосибирская область,Пермский край",,,,,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.25, 'changepoint_range': 0.8, 'seasonality_prior_scale': 1.0, 'growth': 'linear'}",cl_Астрахань,
RE_STR_Feb_March_2022,"Санкт-Петербург,Ленинградская область",2022-02-20,2022-03-31,item_view,Realty,Realty.ShortRent,-none-,,,,,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.25, 'changepoint_range': 0.95, 'seasonality_prior_scale': 5.0, 'growth': 'linear', 'holidays_prior_scale': 5.0}","cl_Московская область,cl_Ульяновская область,cl_Хакасия,cl_Карелия,cl_Волгоград,cl_Рязань,cl_Красноярск,cl_Алтайский край,cl_Псковская область,cl_Новочеркасск",
services_regional_all_09_01,"Ленинградская область,Ростовская область,Санкт-Петербург",2022-09-07,2022-10-07,user_item_view,Services,Any,"Краснодарский край,Свердловская область,Тюменская область,Татарстан,Приморский край,Красноярский край",,,,,"{'seasonality_mode': 'additive', 'seasonality_prior_scale': 0.01, 'changepoint_prior_scale': 0.05, 'changepoint_range': 0.8, 'growth': 'linear', 'holidays_prior_scale': 0.01}","cl_Астрахань,cl_Нальчик,cl_Барнаул,cl_Самара,cl_Петрозаводск,cl_Махачкала",
